date,state,code,name,tranche,price,coupon,yield_measure_used,yield,current_yield,series_label,excluded_near_maturity,excluded_past_maturity,active_default_override
1850-09-21,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,50.0,5.0,current_yield,10.0,10.0,canal_robustness,False,False,True
1850-10-05,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,9.0,5.0,current_yield,55.55555555555556,55.55555555555556,canal_robustness,False,False,True
1850-11-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,6.0,5.0,current_yield,83.33333333333334,83.33333333333334,canal_robustness,False,False,True
1851-02-26,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,33.33333333333333,canal_robustness,False,False,True
1851-03-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,50.0,canal_robustness,False,False,True
1851-04-16,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,50.0,canal_robustness,False,False,True
1851-04-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,50.0,canal_robustness,False,False,True
1851-05-07,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,38.46153846153847,canal_robustness,False,False,True
1851-05-10,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,38.46153846153847,canal_robustness,False,False,True
1851-06-28,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,38.46153846153847,canal_robustness,False,False,True
1851-07-16,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,33.33333333333333,canal_robustness,False,False,True
1851-07-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,33.33333333333333,canal_robustness,False,False,True
1851-08-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,7.0,5.0,current_yield,71.42857142857143,71.42857142857143,canal_robustness,False,False,True
1851-09-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,14.0,5.0,current_yield,35.714285714285715,35.714285714285715,canal_robustness,False,False,True
1851-10-22,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.5,5.0,current_yield,32.25806451612903,32.25806451612903,canal_robustness,False,False,True
1851-12-03,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,33.33333333333333,canal_robustness,False,False,True
1852-01-24,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,20.0,5.0,current_yield,25.0,25.0,canal_robustness,False,False,True
1852-04-21,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,21.0,5.0,current_yield,23.809523809523807,23.809523809523807,canal_robustness,False,False,True
1852-06-26,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,33.33333333333333,canal_robustness,False,False,True
1852-07-10,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,18.0,5.0,current_yield,27.77777777777778,27.77777777777778,canal_robustness,False,False,True
1852-10-23,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,38.46153846153847,canal_robustness,False,False,True
1852-12-01,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,14.5,5.0,current_yield,34.48275862068966,34.48275862068966,canal_robustness,False,False,True
1850-04-24,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,28.0,5.0,current_yield,17.857142857142858,17.857142857142858,canal_robustness,False,False,True
1850-05-04,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,29.0,5.0,current_yield,17.24137931034483,17.24137931034483,canal_robustness,False,False,True
1850-06-01,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,10.0,5.0,current_yield,50.0,50.0,canal_robustness,False,False,True
1850-09-18,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,26.0,5.0,current_yield,19.230769230769234,19.230769230769234,canal_robustness,False,False,True
1850-10-05,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,27.5,5.0,current_yield,18.181818181818183,18.181818181818183,canal_robustness,False,False,True
1850-10-23,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,29.0,5.0,current_yield,17.24137931034483,17.24137931034483,canal_robustness,False,False,True
1850-11-06,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,28.5,5.0,current_yield,17.543859649122805,17.543859649122805,canal_robustness,False,False,True
1850-11-16,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,28.0,5.0,current_yield,17.857142857142858,17.857142857142858,canal_robustness,False,False,True
1850-12-07,Indiana,S-0490,Indiana Canal Preferred 5s,preferred,29.0,5.0,current_yield,17.24137931034483,17.24137931034483,canal_robustness,False,False,True
