code,source_file,confirmed_name,bucket_note,avg_price,volatility,pct_populated,flagged_decline
NY State Debt::S-1980,New-York.xls,New York debts,,40.0,0.0,0.26,no
NY State Debt::S-1630,New-York.xls,New York 7s,,101.32,0.92,1.89,no
NY State Debt::S-1640,New-York.xls,"New York 7s, 1848",,104.62,3.08,1.52,no
NY State Debt::S-1650,New-York.xls,"New York 7s, 1849",,104.63,2.89,4.5,no
NY State Debt::S-1500,New-York.xls,"New York 6.5s, 1861",,111.67,3.51,0.09,no
NY State Debt::S-1510,New-York.xls,New York 6s,,100.92,1.68,9.28,no
NY State Debt::S-1516,New-York.xls,"New York 6s, 1852",,112.17,2.36,0.09,no
NY State Debt::S-1520,New-York.xls,"New York 6s, 1854",,106.25,2.44,0.17,no
NY State Debt::S-1530,New-York.xls,"New York 6s, 1855",,105.32,2.74,0.32,no
NY State Debt::S-1550,New-York.xls,"New York 6s, 1860",,110.1,3.22,0.72,no
NY State Debt::S-1560,New-York.xls,"New York 6s, 1861",,112.29,3.2,0.34,no
NY State Debt::S-1490,New-York.xls,"New York 6s, 1/2 Yearly 1861",,104.5,4.12,0.2,no
NY State Debt::S-1570,New-York.xls,"New York 6s, 1862",,112.3,2.75,0.95,no
NY State Debt::S-1576,New-York.xls,"New York 6s, 1863",,116.0,,0.03,no
NY State Debt::S-1580,New-York.xls,"New York 6s, 1864",,112.95,5.54,0.32,no
NY State Debt::S-1586,New-York.xls,"New York 6s, 1864 1/2 Yr",,106.38,5.48,0.06,no
NY State Debt::S-1590,New-York.xls,"New York 6s, 1865",,117.09,3.39,1.0,no
NY State Debt::S-1600,New-York.xls,"New York 6s, 1866",,120.25,0.5,0.11,no
NY State Debt::S-1610,New-York.xls,"New York 6s, 1867",,117.25,3.57,0.34,no
NY State Debt::S-1250,New-York.xls,"New York 5.5s, 1860",,90.77,13.32,0.46,no
NY State Debt::S-1206,New-York.xls,"New York 5.5s, .5 1860",,106.33,2.31,0.09,no
NY State Debt::S-1260,New-York.xls,"New York 5.5s, 1861",,97.27,15.12,0.72,no
NY State Debt::S-1207,New-York.xls,"New York 5.5s, .5 1861",,105.0,,0.03,no
NY State Debt::S-1270,New-York.xls,"New York 5.5s, 1865",,112.3,6.24,0.14,no
NY State Debt::S-1210,New-York.xls,"New York 5.5s 1/2 Yearly, 1865",,100.67,0.58,0.09,no
NY State Debt::S-1220,New-York.xls,"New York 5.5s, 1866",,,,0.0,no
NY State Debt::S-1230,New-York.xls,"New York 5.5s, 1867",,119.5,2.12,0.06,no
NY State Debt::S-1236,New-York.xls,"New York 5.5s, 1868",,108.0,,0.03,no
NY State Debt::S-1237,New-York.xls,"New York 5.5s, 1875",,109.0,5.66,0.06,no
NY State Debt::S-1310,New-York.xls,"New York 5s, Astor Loan",,89.0,1.41,0.06,no
NY State Debt::S-1320,New-York.xls,"New York 5s, 1850",,112.18,4.46,0.57,no
NY State Debt::S-1326,New-York.xls,"New York 5s, 1853",,101.83,1.47,0.17,no
NY State Debt::S-1330,New-York.xls,"New York 5s, 1854",,103.18,2.37,0.32,no
NY State Debt::S-1340,New-York.xls,"New York 5s, 1855",,103.61,1.89,1.29,no
NY State Debt::S-1290,New-York.xls,"New York 5s, 1858",,104.42,2.48,1.46,no
NY State Debt::S-1360,New-York.xls,"New York 5s, 1859",,105.82,2.46,0.32,no
NY State Debt::S-1370,New-York.xls,"New York 5s, 1860",,104.4,2.41,0.97,no
NY State Debt::S-1380,New-York.xls,"New York 5s, 1861",,104.59,2.99,0.23,no
