date,state,code,name,tranche,price,coupon,yield_measure_used,yield,active_default_override,excluded_near_maturity,excluded_past_maturity,coupon_assumed_paid_in_full,sanity_flag
1850-09-21,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,50.0,5.0,current_yield,10.0,True,False,False,True,possible_data_anomaly_first_print_2.4x_own_2nd_highest
1850-10-05,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,9.0,5.0,current_yield,55.55555555555556,True,False,False,True,
1850-11-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,6.0,5.0,current_yield,83.33333333333334,True,False,False,True,
1851-02-26,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,True,False,False,True,
1851-03-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1851-04-16,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1851-04-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1851-05-07,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,True,False,False,True,
1851-05-10,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,True,False,False,True,
1851-06-28,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,True,False,False,True,
1851-07-16,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,True,False,False,True,
1851-07-19,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,True,False,False,True,
1851-08-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,7.0,5.0,current_yield,71.42857142857143,True,False,False,True,
1851-09-06,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,14.0,5.0,current_yield,35.714285714285715,True,False,False,True,
1851-10-22,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.5,5.0,current_yield,32.25806451612903,True,False,False,True,
1851-12-03,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,True,False,False,True,
1852-01-24,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,20.0,5.0,current_yield,25.0,True,False,False,True,
1852-04-21,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,21.0,5.0,current_yield,23.809523809523807,True,False,False,True,
1852-06-26,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,15.0,5.0,current_yield,33.33333333333333,True,False,False,True,
1852-07-10,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,18.0,5.0,current_yield,27.77777777777778,True,False,False,True,
1852-10-23,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,13.0,5.0,current_yield,38.46153846153847,True,False,False,True,
1852-12-01,Indiana,S-0480,Indiana Canal Deferred 5s,deferred,14.5,5.0,current_yield,34.48275862068966,True,False,False,True,
1851-01-01,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1851-01-15,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1851-02-26,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,9.5,5.0,current_yield,52.63157894736842,True,False,False,True,
1851-07-16,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,7.0,5.0,current_yield,71.42857142857143,True,False,False,True,
1851-07-19,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,7.0,5.0,current_yield,71.42857142857143,True,False,False,True,
1851-10-08,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,1.0,5.0,current_yield,500.0,True,False,False,True,extreme_outlier_price_1.00_yield_500pct_capped_offchart_in_existing_robustness_chart
1851-10-22,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,8.0,5.0,current_yield,62.5,True,False,False,True,
1851-12-03,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,8.0,5.0,current_yield,62.5,True,False,False,True,
1852-01-24,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,8.0,5.0,current_yield,62.5,True,False,False,True,
1852-03-06,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,8.0,5.0,current_yield,62.5,True,False,False,True,
1852-03-10,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,8.0,5.0,current_yield,62.5,True,False,False,True,
1852-05-22,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
1852-06-16,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,9.0,5.0,current_yield,55.55555555555556,True,False,False,True,
1852-06-26,Indiana,S-0506,Indiana Canal Special Deferred 5s,deferred,10.0,5.0,current_yield,50.0,True,False,False,True,
