code,name,coupon,maturity_year,n_obs,first_date,last_date,pre_signal_obs_before_1843_02_11,post_signal_obs_matched_to_S1650_ceiling_1848_01_01,used_in_final_comparison,post_signal_mean_yield_pct
C-0600,New York City  6s,6.0,,471,1814-05-07,1823-12-12,471,0,False,
C-0740,"New York City Corporation 5s, 1850",5.0,1850.0,103,1824-02-14,1842-04-16,103,0,False,
C-0630,New York City  7s,7.0,,99,1814-11-26,1817-04-04,99,0,False,
C-0880,New York City Corporation 6s,6.0,,86,1824-03-06,1851-01-22,76,4,False,
C-0850,"New York City Corporation 5s, Water Loan, 1870",5.0,1870.0,47,1841-06-19,1842-12-24,47,0,False,
C-0680,New York City  Loan Old 5s,5.0,,47,1821-01-05,1823-11-21,47,0,False,
C-0960,"New York City Corporation, 1839",1839.0,,29,1840-01-01,1840-11-21,29,0,False,
C-0820,"New York City Corporation 5s, Water Loan, 1858",5.0,1858.0,26,1841-06-19,1842-12-24,26,0,False,
C-0970,"New York City Corporation, 1840",1840.0,,25,1840-02-01,1840-10-25,25,0,False,
C-0730,"New York City Corporation 5s, 1831",5.0,1831.0,21,1824-01-03,1829-05-09,21,0,False,
C-0940,"New York City Corporation 7s, 1852",7.0,1852.0,20,1842-07-30,1842-12-31,20,0,False,
C-0670,New York City  Loan New 5s,5.0,,17,1821-08-03,1823-12-31,17,0,False,
C-0530,New York City  5s,5.0,,14,1820-10-06,1820-12-29,14,0,False,
C-0710,New York City Corporation,,,11,1839-09-07,1839-12-28,11,0,False,
C-0760,"New York City Corporation 5s, 1858",5.0,1858.0,9,1839-09-04,1840-10-03,9,0,False,
C-0900,"New York City Corporation 6s, 1843",6.0,1843.0,8,1842-01-29,1842-04-09,8,0,False,
C-0330,Brooklyn Bonds,,,8,1840-06-20,1842-06-04,8,0,False,
C-0800,"New York City Corporation 5s, Fire Loan 1858",5.0,1858.0,7,1842-02-19,1842-05-28,7,0,False,
C-0780,"New York City Corporation 5s, 1868",5.0,1868.0,6,1839-08-03,1840-10-10,6,0,False,
C-0698,"New York City 5s, Water Loan, 1870",5.0,1870.0,148,1843-01-07,1853-11-30,5,43,True,5.24
C-0810,"New York City Corporation 5s, Fire Loan 1868",5.0,1868.0,5,1841-10-02,1842-12-10,5,0,False,
C-0840,"New York City Corporation 5s, Water Loan, 1868",5.0,1868.0,5,1841-12-25,1842-06-25,5,0,False,
C-0950,"New York City Corporation 7s, 1857",7.0,1857.0,8,1842-07-23,1843-04-15,5,1,False,
C-0980,"New York City Corporation, Fire Loan",,,4,1841-03-24,1842-01-01,4,0,False,
C-0910,New York City Corporation 7,7.0,,4,1839-08-24,1842-05-28,4,0,False,
C-0870,New York City Corporation 6%,0.06,,4,1841-06-26,1841-12-25,4,0,False,
C-0790,"New York City Corporation 5s, 1870",5.0,1870.0,3,1840-07-04,1840-11-21,3,0,False,
C-0890,"New York City Corporation 6s, 1842",6.0,1842.0,2,1842-04-23,1842-04-30,2,0,False,
C-0660,"New York City  7s, 1857",7.0,1857.0,80,1843-01-21,1852-08-11,2,35,True,5.788
C-0770,"New York City Corporation 5s, 1860",5.0,1860.0,2,1839-12-14,1842-04-02,2,0,False,
C-0540,"New York City  5s, 1850",5.0,1850.0,16,1843-01-21,1851-05-21,2,7,False,
