date,code,price,coupon,yield_measure_used,yield_pct,current_yield_pct,flags
1840-06-06,S-2010,89.0,5.0,ytm,6.507134381848341,5.617977528089887,
1840-07-25,S-2010,80.0,5.0,ytm,7.910260129581278,6.25,
1840-09-19,S-2010,80.0,5.0,ytm,7.949146433369377,6.25,
1840-12-19,S-2010,80.0,5.0,ytm,8.015151515151516,6.25,
1841-02-20,S-2010,90.5,5.0,ytm,6.374741850503163,5.524861878453039,
1841-06-05,S-2010,81.5,5.0,ytm,7.886994289815606,6.134969325153374,
1842-04-09,S-2010,48.0,5.0,ytm,15.845360232754002,10.416666666666668,panic_window_spike
1842-04-30,S-2010,55.0,5.0,ytm,14.01781501386763,9.090909090909092,panic_window_spike
1842-06-04,S-2010,80.0,5.0,ytm,8.487877328195246,6.25,panic_window_spike
1842-07-09,S-2010,50.0,5.0,ytm,15.57628979143798,10.0,
1842-08-27,S-2010,50.0,5.0,ytm,15.73894684550422,10.0,
1842-10-08,S-2010,59.0,5.0,ytm,13.419055508738856,8.47457627118644,
1842-10-22,S-2010,59.0,5.0,ytm,13.457037419947737,8.47457627118644,
1842-12-03,S-2010,59.0,5.0,ytm,13.573450655926688,8.47457627118644,
1843-07-01,S-2010,80.0,5.0,ytm,8.971661054994389,6.25,
1843-09-09,S-2010,78.0,5.0,ytm,9.53326446885019,6.41025641025641,
1843-09-16,S-2010,83.0,5.0,ytm,8.416227535374135,6.024096385542169,
1843-09-23,S-2010,86.0,5.0,ytm,7.775291335922987,5.813953488372093,
1848-07-22,S-2010,99.0,5.0,ytm,5.720363179534034,5.05050505050505,
1840-08-01,S-2080,96.75,6.0,ytm,6.269255907653343,6.2015503875969,
1840-10-10,S-2080,97.25,6.0,ytm,6.228685944121301,6.169665809768637,
1840-10-18,S-2080,97.25,6.0,ytm,6.228851368420139,6.169665809768637,
1840-10-25,S-2080,98.0,6.0,ytm,6.165912010067854,6.122448979591836,
1841-02-13,S-2080,93.0,6.0,ytm,6.601822187225754,6.451612903225806,
1841-02-27,S-2080,92.0,6.0,ytm,6.692276954373728,6.521739130434782,
1841-03-10,S-2080,90.0,6.0,ytm,6.875349485633746,6.666666666666667,
1841-05-01,S-2080,93.0,6.0,ytm,6.606160628600215,6.451612903225806,
1841-06-12,S-2080,97.0,6.0,ytm,6.2555193776501445,6.185567010309279,
1841-06-19,S-2080,93.0,6.0,ytm,6.608972838107776,6.451612903225806,
1841-06-26,S-2080,90.0,6.0,ytm,6.884285236231197,6.666666666666667,
1841-07-03,S-2080,94.0,6.0,ytm,6.519977660178353,6.382978723404255,
1841-07-10,S-2080,94.25,6.0,ytm,6.498002564086428,6.36604774535809,
1841-08-07,S-2080,93.75,6.0,ytm,6.544158655346028,6.4,
1841-08-14,S-2080,94.0,6.0,ytm,6.52206959453857,6.382978723404255,
1841-08-28,S-2080,94.0,6.0,ytm,6.52277273426681,6.382978723404255,
1841-09-18,S-2080,93.0,6.0,ytm,6.614304986552081,6.451612903225806,
1841-10-16,S-2080,90.5,6.0,ytm,6.846936758074388,6.629834254143646,
1841-11-13,S-2080,90.0,6.0,ytm,6.896302359401448,6.666666666666667,panic_window_spike
1841-11-20,S-2080,88.0,6.0,ytm,7.087749877794643,6.8181818181818175,panic_window_spike
1841-12-04,S-2080,84.0,6.0,ytm,7.483898159977873,7.142857142857142,panic_window_spike
1841-12-11,S-2080,81.0,6.0,ytm,7.7925684534156545,7.4074074074074066,panic_window_spike
1841-12-18,S-2080,80.0,6.0,ytm,7.898704715644607,7.5,panic_window_spike
1841-12-25,S-2080,71.0,6.0,ytm,8.900023192763857,8.450704225352112,panic_window_spike
1842-01-01,S-2080,71.0,6.0,ytm,8.902027658132248,8.450704225352112,panic_window_spike
1842-01-15,S-2080,60.0,6.0,ytm,10.283917682926829,10.0,panic_window_spike
1842-01-22,S-2080,65.0,6.0,ytm,9.637362484913226,9.230769230769232,panic_window_spike
1842-01-29,S-2080,70.0,6.0,ytm,9.028144713430745,8.571428571428571,panic_window_spike
1842-02-05,S-2080,67.0,6.0,ytm,9.39315740746676,8.955223880597014,panic_window_spike
1842-02-12,S-2080,68.0,6.0,ytm,9.273029481235238,8.823529411764707,panic_window_spike
1842-02-19,S-2080,68.0,6.0,ytm,9.275314723590586,8.823529411764707,panic_window_spike
1842-03-05,S-2080,61.0,6.0,ytm,10.171177109735936,9.836065573770492,panic_window_spike
1842-03-12,S-2080,51.75,6.0,ytm,11.478894751879972,11.594202898550725,panic_window_spike
1842-03-19,S-2080,58.0,6.0,ytm,10.583755306733584,10.344827586206897,panic_window_spike
1842-03-26,S-2080,54.5,6.0,ytm,11.081798734423383,11.009174311926609,panic_window_spike
1842-04-02,S-2080,52.5,6.0,ytm,11.37853604509145,11.428571428571429,panic_window_spike
1842-04-16,S-2080,63.5,6.0,ytm,9.86036439135978,9.448818897637794,panic_window_spike
1842-04-23,S-2080,69.25,6.0,ytm,9.14395806503376,8.664259927797833,panic_window_spike
1842-04-30,S-2080,70.5,6.0,ytm,8.996163377862985,8.51063829787234,panic_window_spike
1842-05-07,S-2080,86.0,6.0,ytm,7.304340430641158,6.976744186046512,panic_window_spike
1842-05-14,S-2080,73.5,6.0,ytm,8.64868746552055,8.16326530612245,panic_window_spike
1842-05-28,S-2080,75.5,6.0,ytm,8.424328986021843,7.947019867549669,panic_window_spike
1842-06-04,S-2080,78.0,6.0,ytm,8.147905071931115,7.6923076923076925,panic_window_spike
1842-06-11,S-2080,80.0,6.0,ytm,7.932324964915017,7.5,panic_window_spike
1842-06-18,S-2080,84.0,6.0,ytm,7.513336681643567,7.142857142857142,panic_window_spike
1842-07-02,S-2080,79.0,6.0,ytm,8.044666517504423,7.59493670886076,
1842-07-16,S-2080,68.5,6.0,ytm,9.262808076352966,8.75912408759124,
1842-07-23,S-2080,74.0,6.0,ytm,8.609864742718893,8.108108108108109,
1842-07-30,S-2080,74.5,6.0,ytm,8.554183723271484,8.053691275167784,
1842-08-06,S-2080,73.0,6.0,ytm,8.729851304056064,8.21917808219178,
1842-08-13,S-2080,72.0,6.0,ytm,8.849478117560887,8.333333333333332,
1842-08-20,S-2080,70.0,6.0,ytm,9.091170442637091,8.571428571428571,
1842-08-27,S-2080,71.5,6.0,ytm,8.913041677710044,8.391608391608392,
1842-09-03,S-2080,72.75,6.0,ytm,8.767134219414501,8.24742268041237,
1842-09-10,S-2080,73.0,6.0,ytm,8.73978016029902,8.21917808219178,
1842-09-17,S-2080,72.5,6.0,ytm,8.800647182347069,8.275862068965518,
1842-09-24,S-2080,72.5,6.0,ytm,8.80269361197651,8.275862068965518,
1842-10-01,S-2080,72.5,6.0,ytm,8.80474458850562,8.275862068965518,
1842-10-08,S-2080,71.125,6.0,ytm,8.97082058741812,8.43585237258348,
1842-10-15,S-2080,71.0,6.0,ytm,8.988053878931462,8.450704225352112,
1842-10-22,S-2080,70.5,6.0,ytm,9.050726600295125,8.51063829787234,
1842-11-05,S-2080,67.5,6.0,ytm,9.426209202947916,8.88888888888889,
1842-11-12,S-2080,70.0,6.0,ytm,9.118445908480023,8.571428571428571,
1842-11-19,S-2080,70.5,6.0,ytm,9.059740179330298,8.51063829787234,
1842-11-26,S-2080,70.75,6.0,ytm,9.031611819470218,8.480565371024735,
1842-12-03,S-2080,71.25,6.0,ytm,8.973292956052264,8.421052631578947,
1842-12-10,S-2080,72.625,6.0,ytm,8.81062790041756,8.261617900172118,
1842-12-17,S-2080,68.5,6.0,ytm,9.315786312007509,8.75912408759124,
1842-12-24,S-2080,69.5,6.0,ytm,9.193960038205264,8.633093525179856,
1842-12-31,S-2080,67.0,6.0,ytm,9.5101102143539,8.955223880597014,
1843-01-07,S-2080,67.0,6.0,ytm,9.512733359655025,8.955223880597014,
1843-01-14,S-2080,66.75,6.0,ytm,9.547304301367715,8.98876404494382,
1843-01-21,S-2080,63.0,6.0,ytm,10.04121700186458,9.523809523809524,
1843-01-28,S-2080,65.25,6.0,ytm,9.746599737366452,9.195402298850574,
1843-02-04,S-2080,66.0,6.0,ytm,9.651919418564948,9.090909090909092,policy_signal_window
1843-02-11,S-2080,65.75,6.0,ytm,9.68709468223087,9.125475285171104,policy_signal_window
1843-02-18,S-2080,66.0,6.0,ytm,9.65742535146266,9.090909090909092,policy_signal_window
1843-03-11,S-2080,70.25,6.0,ytm,9.127444790426036,8.540925266903916,policy_signal_window
1843-03-18,S-2080,70.5,6.0,ytm,9.098966076028294,8.51063829787234,policy_signal_window
1843-03-25,S-2080,70.0,6.0,ytm,9.163161836722937,8.571428571428571,policy_signal_window
1843-04-01,S-2080,68.75,6.0,ytm,9.321893555591872,8.727272727272728,policy_signal_window
1843-04-08,S-2080,68.75,6.0,ytm,9.324425538103547,8.727272727272728,policy_signal_window
1843-04-15,S-2080,67.25,6.0,ytm,9.51792803810741,8.921933085501859,policy_signal_window
1843-04-22,S-2080,69.5,6.0,ytm,9.23522001991078,8.633093525179856,policy_signal_window
1843-04-29,S-2080,78.5,6.0,ytm,8.167236686170117,7.643312101910828,policy_signal_window
1843-05-06,S-2080,80.0,6.0,ytm,8.000767039228577,7.5,
1843-05-13,S-2080,88.25,6.0,ytm,7.124800124825693,6.79886685552408,
1843-05-20,S-2080,86.5,6.0,ytm,7.305453356948205,6.9364161849710975,
1843-06-03,S-2080,89.25,6.0,ytm,7.026002575695971,6.722689075630252,
1843-06-10,S-2080,92.375,6.0,ytm,6.716477551587313,6.495263870094722,
1843-06-17,S-2080,89.5,6.0,ytm,7.00236864376803,6.70391061452514,
1843-06-24,S-2080,87.5,6.0,ytm,7.206959403479701,6.857142857142858,
1843-07-01,S-2080,91.0,6.0,ytm,6.853748823118639,6.593406593406594,
1843-07-08,S-2080,90.0,6.0,ytm,6.954344006503553,6.666666666666667,
1843-07-15,S-2080,89.5,6.0,ytm,7.005487635271439,6.70391061452514,
1843-07-22,S-2080,89.0,6.0,ytm,7.056978498629905,6.741573033707865,
1843-07-29,S-2080,89.5,6.0,ytm,7.0070580474934046,6.70391061452514,
1843-08-05,S-2080,90.5,6.0,ytm,6.907074001032701,6.629834254143646,
1843-08-12,S-2080,89.5,6.0,ytm,7.008635805445776,6.70391061452514,
1843-08-19,S-2080,91.0,6.0,ytm,6.858428583812979,6.593406593406594,
1843-08-26,S-2080,91.625,6.0,ytm,6.796835984758618,6.548431105047749,
1843-09-02,S-2080,92.0,6.0,ytm,6.7602682313495395,6.521739130434782,
1843-09-09,S-2080,92.125,6.0,ytm,6.748491882998818,6.512890094979647,
1843-09-16,S-2080,94.25,6.0,ytm,6.540966152796098,6.36604774535809,
1843-09-23,S-2080,96.0,6.0,ytm,6.373259263328481,6.25,
1843-09-30,S-2080,95.375,6.0,ytm,6.433304657315117,6.290956749672345,
1843-10-28,S-2080,94.625,6.0,ytm,6.507121007730933,6.340819022457067,
1843-11-04,S-2080,96.125,6.0,ytm,6.363092395681408,6.241872561768531,
1843-11-11,S-2080,98.25,6.0,ytm,6.162349309640012,6.106870229007633,
1843-11-18,S-2080,100.5,6.0,ytm,5.9540982801149305,5.970149253731343,
1843-12-02,S-2080,100.0,6.0,ytm,6.0,6.0,
1843-12-09,S-2080,102.75,6.0,ytm,5.74973986667471,5.839416058394161,
