date,state,code,price,coupon,yield_measure_used,yield,current_yield,bucket,series_label,excluded_near_maturity,excluded_past_maturity,active_default_override
1842-02-19,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-04-09,Alabama,S-0030,45.0,5.0,current_yield,11.11111111111111,11.11111111111111,defaulted,primary,False,False,False
1842-06-04,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-06-25,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-07-02,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-07-23,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-10-15,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-10-29,Alabama,S-0030,55.0,5.0,current_yield,9.090909090909092,9.090909090909092,defaulted,primary,False,False,False
1842-11-05,Alabama,S-0030,60.0,5.0,current_yield,8.333333333333332,8.333333333333332,defaulted,primary,False,False,False
1842-11-12,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-11-19,Alabama,S-0030,55.0,5.0,current_yield,9.090909090909092,9.090909090909092,defaulted,primary,False,False,False
1842-11-26,Alabama,S-0030,65.0,5.0,current_yield,7.6923076923076925,7.6923076923076925,defaulted,primary,False,False,False
1842-12-03,Alabama,S-0030,60.0,5.0,current_yield,8.333333333333332,8.333333333333332,defaulted,primary,False,False,False
1842-12-10,Alabama,S-0030,60.0,5.0,current_yield,8.333333333333332,8.333333333333332,defaulted,primary,False,False,False
1842-12-17,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1842-12-31,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1843-01-14,Alabama,S-0030,42.5,5.0,current_yield,11.76470588235294,11.76470588235294,defaulted,primary,False,False,False
1843-01-21,Alabama,S-0030,40.0,5.0,current_yield,12.5,12.5,defaulted,primary,False,False,False
1843-04-08,Alabama,S-0030,55.0,5.0,current_yield,9.090909090909092,9.090909090909092,defaulted,primary,False,False,False
1843-04-15,Alabama,S-0030,55.0,5.0,current_yield,9.090909090909092,9.090909090909092,defaulted,primary,False,False,False
1843-05-20,Alabama,S-0030,50.0,5.0,current_yield,10.0,10.0,defaulted,primary,False,False,False
1843-06-17,Alabama,S-0030,60.0,5.0,current_yield,8.333333333333332,8.333333333333332,defaulted,primary,False,False,False
1843-07-01,Alabama,S-0030,60.0,5.0,current_yield,8.333333333333332,8.333333333333332,defaulted,primary,False,False,False
1843-09-30,Alabama,S-0030,70.0,5.0,current_yield,7.142857142857142,7.142857142857142,defaulted,primary,False,False,False
1843-10-07,Alabama,S-0030,71.5,5.0,current_yield,6.993006993006993,6.993006993006993,defaulted,primary,False,False,False
1843-10-28,Alabama,S-0030,75.0,5.0,current_yield,6.666666666666667,6.666666666666667,defaulted,primary,False,False,False
1843-11-11,Alabama,S-0030,73.0,5.0,current_yield,6.8493150684931505,6.8493150684931505,defaulted,primary,False,False,False
1843-12-02,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1843-12-09,Alabama,S-0030,80.5,5.0,current_yield,6.211180124223603,6.211180124223603,defaulted,primary,False,False,False
1843-12-16,Alabama,S-0030,82.5,5.0,current_yield,6.0606060606060606,6.0606060606060606,defaulted,primary,False,False,False
1843-12-23,Alabama,S-0030,84.0,5.0,current_yield,5.952380952380952,5.952380952380952,defaulted,primary,False,False,False
1843-12-30,Alabama,S-0030,82.0,5.0,current_yield,6.097560975609756,6.097560975609756,defaulted,primary,False,False,False
1844-01-13,Alabama,S-0030,82.0,5.0,current_yield,6.097560975609756,6.097560975609756,defaulted,primary,False,False,False
1844-01-20,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1844-01-27,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1844-02-03,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1844-02-10,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1844-02-24,Alabama,S-0030,83.5,5.0,current_yield,5.9880239520958085,5.9880239520958085,defaulted,primary,False,False,False
1844-03-02,Alabama,S-0030,84.0,5.0,current_yield,5.952380952380952,5.952380952380952,defaulted,primary,False,False,False
1844-03-09,Alabama,S-0030,84.0,5.0,current_yield,5.952380952380952,5.952380952380952,defaulted,primary,False,False,False
1844-03-16,Alabama,S-0030,84.5,5.0,current_yield,5.9171597633136095,5.9171597633136095,defaulted,primary,False,False,False
1844-03-23,Alabama,S-0030,84.0,5.0,current_yield,5.952380952380952,5.952380952380952,defaulted,primary,False,False,False
1844-03-30,Alabama,S-0030,80.0,5.0,current_yield,6.25,6.25,defaulted,primary,False,False,False
1844-04-06,Alabama,S-0030,83.5,5.0,current_yield,5.9880239520958085,5.9880239520958085,defaulted,primary,False,False,False
1844-04-13,Alabama,S-0030,83.0,5.0,current_yield,6.024096385542169,6.024096385542169,defaulted,primary,False,False,False
