code,state,bucket,series_label,total_obs,first_date,last_date,span_days,span_months,obs_per_month,largest_gap_days,largest_gap_start,largest_gap_end
S-0030,Alabama,risky_but_survived,primary,158,1842-02-19,1853-06-18,4137,135.9,1.163,497,1848-09-30,1850-02-09
S-0040,Alabama,risky_but_survived,primary,19,1842-06-25,1851-05-21,3252,106.8,0.178,1467,1847-05-15,1851-05-21
S-0510,Indiana,defaulted,primary,196,1843-01-21,1848-12-09,2149,70.6,2.776,245,1848-04-08,1848-12-09
S-0540,Indiana,defaulted,primary,142,1843-01-21,1848-09-16,2065,67.8,2.093,301,1847-11-20,1848-09-16
S-0470,Indiana,defaulted,secondary_canal,54,1850-01-19,1853-12-24,1435,47.1,1.145,203,1851-06-28,1852-01-17
S-0480,Indiana,defaulted,secondary_canal,22,1850-09-21,1852-12-01,802,26.3,0.835,112,1850-11-06,1851-02-26
S-0490,Indiana,defaulted,secondary_canal,65,1850-04-24,1853-07-09,1172,38.5,1.688,109,1850-06-01,1850-09-18
S-0500,Indiana,defaulted,secondary_canal,38,1850-09-18,1853-07-23,1039,34.1,1.113,98,1853-02-26,1853-06-04
S-0506,Indiana,defaulted,secondary_canal,21,1851-01-01,1853-06-04,885,29.1,0.722,140,1851-02-26,1851-07-16
S-1650,New York,risky_but_survived,primary,157,1842-07-02,1848-12-09,2352,77.3,2.032,94,1847-04-21,1847-07-24
S-1750,New York,risky_but_survived,secondary_canal,73,1831-04-09,1848-02-26,6167,202.6,0.36,1666,1843-08-05,1848-02-26
S-1820,New York,risky_but_survived,secondary_canal,75,1841-04-03,1848-10-28,2765,90.8,0.826,189,1844-01-13,1844-07-20
S-1950,New York,risky_but_survived,secondary_canal,35,1842-01-08,1843-09-30,630,20.7,1.691,126,1842-07-30,1842-12-03
S-2010,Ohio,safe,primary,167,1827-06-23,1850-08-17,8456,277.8,0.601,1764,1843-09-23,1848-07-22
S-2080,Ohio,safe,primary,503,1840-08-01,1853-12-14,4883,160.4,3.136,371,1848-12-30,1850-01-05
S-2100,Ohio,safe,primary,519,1827-06-23,1851-04-21,8703,285.9,1.815,2268,1843-10-21,1850-01-05
S-2110,Ohio,safe,primary,165,1840-09-30,1853-12-14,4823,158.4,1.041,2289,1843-09-30,1850-01-05
S-2190,Ohio,safe,secondary_canal,2,1825-10-01,1825-10-08,7,0.2,8.697,7,1825-10-01,1825-10-08
S-2240,Pennsylvania,defaulted,primary,420,1831-07-23,1842-09-24,4081,134.1,3.133,392,1833-12-21,1835-01-17
S-2250,Pennsylvania,defaulted,primary,548,1831-07-23,1850-02-16,6783,222.8,2.459,1869,1842-09-24,1847-11-06
S-2270,Pennsylvania,defaulted,primary,447,1831-07-23,1843-12-23,4536,149.0,3.0,406,1842-09-24,1843-11-04
S-2330,Pennsylvania,defaulted,primary,93,1842-12-31,1844-12-07,707,23.2,4.004,21,1843-11-18,1843-12-09
S-2410,Pennsylvania,defaulted,primary,177,1842-12-17,1847-01-23,1498,49.2,3.597,49,1846-10-17,1846-12-05
